City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Ossora,59.24,163.07,31.28,96,54,5.79,RU,2020-11-02 17:29:26
1,Busselton,-33.65,115.33,55.0,97,8,9.84,AU,2020-11-02 17:28:42
2,Mahebourg,-20.41,57.7,73.4,64,75,11.41,MU,2020-11-02 17:29:26
3,Codrington,-38.27,141.97,61.14,55,99,9.19,AU,2020-11-02 17:27:11
4,Tilichiki,60.47,166.1,28.44,100,100,1.59,RU,2020-11-02 17:27:15
5,Tuatapere,-46.13,167.68,39.99,93,51,1.01,NZ,2020-11-02 17:24:45
6,Atuona,-9.8,-139.03,77.52,76,60,20.11,PF,2020-11-02 17:29:26
7,Imuris,30.78,-110.87,79.09,22,55,9.53,MX,2020-11-02 17:29:27
8,Vaini,-21.2,-175.2,73.4,94,75,9.17,TO,2020-11-02 17:27:10
9,Algeciras,36.13,-5.45,64.4,88,0,6.93,ES,2020-11-02 17:29:27
10,Cairns,-16.92,145.77,77.0,78,7,8.05,AU,2020-11-02 17:27:35
11,Saint-Joseph,-21.37,55.62,73.4,60,90,12.75,RE,2020-11-02 17:29:27
12,Tongliao,43.61,122.27,26.08,76,0,14.54,CN,2020-11-02 17:29:27
13,Sept-Iles,50.2,-66.38,37.99,93,100,8.05,CA,2020-11-02 17:29:27
14,Aviles,43.55,-5.92,55.99,87,75,4.7,ES,2020-11-02 17:29:27
15,Henties Bay,-22.12,14.28,60.01,85,22,1.99,NA,2020-11-02 17:29:28
16,Sechura,-5.56,-80.82,73.38,53,66,9.22,PE,2020-11-02 17:29:28
17,Ushuaia,-54.8,-68.3,55.4,66,20,5.82,AR,2020-11-02 17:29:28
18,Vestmannaeyjar,63.44,-20.27,41.0,75,75,23.04,IS,2020-11-02 17:29:28
19,Saskylakh,71.92,114.08,7.86,94,99,8.95,RU,2020-11-02 17:29:28
20,Fortuna,40.6,-124.16,50.0,87,1,4.7,US,2020-11-02 17:29:28
21,Torbay,47.67,-52.73,51.01,93,90,31.09,CA,2020-11-02 17:29:29
22,Zapolyarnyy,69.42,30.81,37.4,86,75,32.21,RU,2020-11-02 17:29:29
23,Ayagoz,47.97,80.44,34.47,83,81,8.97,KZ,2020-11-02 17:29:29
24,Bathsheba,13.22,-59.52,87.8,66,40,19.46,BB,2020-11-02 17:29:29
25,Punta Arenas,-53.15,-70.92,59.0,44,100,11.01,CL,2020-11-02 17:29:29
26,Ribeira Grande,38.52,-28.7,64.4,59,40,14.99,PT,2020-11-02 17:29:29
27,Albany,42.6,-73.97,36.0,63,98,5.99,US,2020-11-02 17:27:03
28,Mataura,-46.19,168.86,39.99,93,77,1.01,NZ,2020-11-02 17:29:30
29,New Norfolk,-42.78,147.06,62.01,55,100,1.01,AU,2020-11-02 17:29:30
30,Vostok,46.49,135.88,23.22,97,77,5.26,RU,2020-11-02 17:29:30
31,Puerto Ayora,-0.74,-90.35,78.8,69,75,8.05,EC,2020-11-02 17:29:30
32,Souillac,-20.52,57.52,73.4,64,75,11.41,MU,2020-11-02 17:29:30
33,Lavrentiya,65.58,-171.0,19.26,89,11,5.21,RU,2020-11-02 17:29:30
34,Rikitea,-23.12,-134.97,72.46,82,79,21.23,PF,2020-11-02 17:29:31
35,Kapaa,22.08,-159.32,69.8,100,75,6.93,US,2020-11-02 17:29:31
36,Norman Wells,65.28,-126.83,6.8,84,90,5.82,CA,2020-11-02 17:29:31
37,Georgetown,5.41,100.34,78.8,88,20,3.36,MY,2020-11-02 17:27:23
38,Council Bluffs,41.26,-95.86,55.0,40,40,6.93,US,2020-11-02 17:29:31
39,Wasilla,61.58,-149.44,21.2,40,1,24.16,US,2020-11-02 17:29:31
40,Avarua,-21.21,-159.78,71.6,88,75,17.22,CK,2020-11-02 17:27:50
41,Qaanaaq,77.48,-69.36,4.89,76,91,4.27,GL,2020-11-02 17:29:32
42,Todos Santos,23.45,-110.22,82.0,70,0,3.0,MX,2020-11-02 17:29:32
43,Hermanus,-34.42,19.23,68.0,78,0,4.0,ZA,2020-11-02 17:29:32
44,Leh,34.17,77.58,32.31,66,6,3.22,IN,2020-11-02 17:29:32
45,Parintins,-2.63,-56.74,97.25,41,64,2.98,BR,2020-11-02 17:29:32
46,Clyde River,70.47,-68.59,12.2,85,75,18.34,CA,2020-11-02 17:24:47
47,Khatanga,71.97,102.5,13.53,96,100,8.88,RU,2020-11-02 17:24:43
48,Manakara,-22.13,48.02,70.02,76,16,7.36,MG,2020-11-02 17:29:32
49,Hithadhoo,-0.6,73.08,83.37,76,32,10.71,MV,2020-11-02 17:29:33
50,Norwich,52.63,1.3,53.6,62,20,19.46,GB,2020-11-02 17:29:33
51,Tocoa,15.68,-86.0,78.91,87,99,4.79,HN,2020-11-02 17:25:53
52,Starobaltachevo,56.0,55.92,28.98,93,0,5.21,RU,2020-11-02 17:29:33
53,Tiksi,71.69,128.87,-1.28,90,98,5.35,RU,2020-11-02 17:29:33
54,Yellowknife,62.46,-114.35,6.8,77,75,12.75,CA,2020-11-02 17:29:33
55,Bambous Virieux,-20.34,57.76,73.4,64,75,11.41,MU,2020-11-02 17:24:38
56,Oranjemund,-28.55,16.43,63.59,79,0,13.35,NA,2020-11-02 17:29:33
57,Vicksburg,32.35,-90.88,57.2,28,1,6.93,US,2020-11-02 17:29:33
58,Flin Flon,54.77,-101.86,35.6,93,90,5.82,CA,2020-11-02 17:29:34
59,Port Alfred,-33.59,26.89,67.21,81,8,25.77,ZA,2020-11-02 17:29:34
60,Hilo,19.73,-155.09,73.4,69,1,5.82,US,2020-11-02 17:28:32
61,Jaisalmer,26.91,70.92,75.34,16,0,5.82,IN,2020-11-02 17:25:48
62,Navashino,55.53,42.2,40.32,90,60,7.74,RU,2020-11-02 17:29:34
63,Flinders,-34.58,150.86,53.01,89,37,1.01,AU,2020-11-02 17:29:34
64,Chapais,49.78,-74.85,21.2,73,75,17.22,CA,2020-11-02 17:29:34
65,Isangel,-19.55,169.27,77.34,84,96,11.45,VU,2020-11-02 17:29:34
66,Bredasdorp,-34.53,20.04,66.2,77,0,13.87,ZA,2020-11-02 17:29:34
67,Bambanglipuro,-7.95,110.28,77.05,85,78,4.83,ID,2020-11-02 17:29:35
68,Gunjur,13.2,-16.73,91.4,59,0,4.7,GM,2020-11-02 17:29:35
69,Kodiak,57.79,-152.41,24.8,53,1,11.41,US,2020-11-02 17:26:51
70,Huarmey,-10.07,-78.15,67.84,65,73,9.82,PE,2020-11-02 17:29:35
71,Bethel,41.37,-73.41,39.99,48,75,17.22,US,2020-11-02 17:29:35
72,Portland,45.52,-122.68,55.0,76,20,3.36,US,2020-11-02 17:27:54
73,Yelizovo,53.19,158.38,39.2,93,75,8.95,RU,2020-11-02 17:29:35
74,Khani,41.96,42.96,57.2,100,90,2.24,GE,2020-11-02 17:29:35
75,Nikolskoye,59.7,30.79,39.99,93,90,13.42,RU,2020-11-02 17:29:36
76,Cururupu,-1.83,-44.87,91.45,48,73,7.94,BR,2020-11-02 17:25:26
77,Tasiilaq,65.61,-37.64,24.8,53,0,3.36,GL,2020-11-02 17:29:36
78,Sitka,57.05,-135.33,42.8,87,90,19.46,US,2020-11-02 17:29:36
79,Nyuksenitsa,60.41,44.24,29.08,97,9,6.29,RU,2020-11-02 17:29:36
80,Bonthe,7.53,-12.51,83.88,68,75,4.92,SL,2020-11-02 17:29:36
81,Chokwe,-24.53,32.98,78.82,52,51,6.6,MZ,2020-11-02 17:29:36
82,Tatarsk,55.22,75.98,33.53,89,100,8.37,RU,2020-11-02 17:29:36
83,Coquimbo,-29.95,-71.34,59.0,77,75,11.41,CL,2020-11-02 17:24:41
84,Ghatampur,26.17,80.17,70.48,22,0,4.29,IN,2020-11-02 17:29:37
85,Visakhapatnam,17.69,83.21,82.4,83,75,2.24,IN,2020-11-02 17:28:26
86,Leningradskiy,69.38,178.42,15.37,84,100,4.9,RU,2020-11-02 17:29:37
87,Hobart,-42.88,147.33,62.01,63,90,8.05,AU,2020-11-02 17:25:53
88,Anadyr,64.75,177.48,15.8,78,40,8.95,RU,2020-11-02 17:29:37
89,Vanimo,-2.67,141.3,79.18,77,71,3.58,PG,2020-11-02 17:29:37
90,Bismarck,46.81,-100.78,54.0,40,1,5.21,US,2020-11-02 17:25:01
91,Constitucion,-35.33,-72.42,62.15,66,46,10.25,CL,2020-11-02 17:29:37
92,Castro,-24.79,-50.01,70.65,41,16,1.23,BR,2020-11-02 17:24:52
93,West Wendover,40.74,-114.07,44.6,45,1,0.74,US,2020-11-02 17:29:38
94,Fukue,32.69,128.84,64.92,55,0,17.49,JP,2020-11-02 17:25:04
95,Batouri,4.43,14.37,72.46,92,95,2.68,CM,2020-11-02 17:29:38
96,Port Macquarie,-31.43,152.92,59.0,78,61,10.92,AU,2020-11-02 17:29:36
97,Najran,17.49,44.13,69.8,21,0,4.7,SA,2020-11-02 17:29:38
98,Naze,28.37,129.48,75.2,78,40,18.34,JP,2020-11-02 17:29:38
99,Ust-Maya,60.42,134.53,-8.37,87,19,7.23,RU,2020-11-02 17:29:38
100,Severo-Kurilsk,50.68,156.12,42.75,81,80,20.13,RU,2020-11-02 17:25:05
101,Severobaykalsk,55.65,109.32,16.18,87,66,3.87,RU,2020-11-02 17:29:39
102,Ilulissat,69.22,-51.1,24.8,73,75,13.87,GL,2020-11-02 17:29:39
103,Jamestown,42.1,-79.24,35.01,95,90,20.8,US,2020-11-02 17:29:39
104,Port Elizabeth,-33.92,25.57,66.2,88,20,21.92,ZA,2020-11-02 17:29:39
105,Longyearbyen,78.22,15.64,33.8,74,75,41.38,SJ,2020-11-02 17:29:39
106,Bengkulu,-3.8,102.27,75.52,88,99,4.36,ID,2020-11-02 17:29:39
107,Gordeyevka,52.96,31.97,46.29,92,77,6.35,RU,2020-11-02 17:29:39
108,Sheridan,44.83,-106.92,66.99,47,1,2.84,US,2020-11-02 17:29:40
109,Sharlyk,52.92,54.75,40.14,76,43,7.99,RU,2020-11-02 17:29:40
110,Vao,-22.67,167.48,73.92,90,100,7.16,NC,2020-11-02 17:29:40
111,Yining,29.04,114.56,54.88,79,0,1.9,CN,2020-11-02 17:25:10
112,Russell,32.35,-85.2,59.0,28,1,9.17,US,2020-11-02 17:29:40
113,Amuntai,-2.42,115.25,74.05,95,100,1.05,ID,2020-11-02 17:29:40
114,Butaritari,3.07,172.79,81.01,77,99,20.0,KI,2020-11-02 17:29:40
115,Carutapera,-1.2,-46.02,88.12,59,31,9.08,BR,2020-11-02 17:26:41
116,Durant,33.99,-96.37,61.0,36,1,6.93,US,2020-11-02 17:29:40
117,Honiara,-9.43,159.95,75.2,94,40,4.7,SB,2020-11-02 17:29:41
118,Kavaratti,10.57,72.64,82.81,69,0,5.1,IN,2020-11-02 17:29:41
119,Port-Cartier,50.03,-66.87,37.99,93,100,8.05,CA,2020-11-02 17:29:41
120,Dzilam Gonzalez,21.28,-88.93,80.8,68,95,14.2,MX,2020-11-02 17:29:41
121,Ikom,5.97,8.71,78.76,85,100,2.89,NG,2020-11-02 17:29:41
122,Manaus,-3.1,-60.02,89.6,62,40,5.82,BR,2020-11-02 17:29:41
123,Lambari,-21.98,-45.35,76.08,36,23,4.27,BR,2020-11-02 17:29:41
124,Labuhan,-6.88,112.21,78.94,85,100,7.56,ID,2020-11-02 17:29:42
125,Omsukchan,62.53,155.8,13.55,94,88,1.66,RU,2020-11-02 17:29:42
126,Malindi,-3.22,40.12,78.84,77,95,12.84,KE,2020-11-02 17:29:42
127,Arman,59.7,150.17,32.09,92,100,12.8,RU,2020-11-02 17:29:42
128,Formosa Do Rio Preto,-11.05,-45.19,77.27,74,95,8.05,BR,2020-11-02 17:29:42
129,Saint-Francois,46.42,3.91,66.2,72,0,3.36,FR,2020-11-02 17:29:42
130,Lompoc,34.64,-120.46,69.8,51,1,1.81,US,2020-11-02 17:24:44
131,Alindao,5.03,21.21,74.43,89,79,3.67,CF,2020-11-02 17:29:42
132,Ewa Beach,21.32,-158.01,69.8,83,1,3.36,US,2020-11-02 17:25:41
133,Tsumeb,-19.23,17.72,88.43,20,59,5.95,NA,2020-11-02 17:29:43
