City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Half Moon Bay,US,2020-11-02 03:24:43,37.46,-122.43,64.0,77,5,5.44
1,Sao Joao Da Barra,BR,2020-11-02 03:26:37,-21.64,-41.05,66.67,82,74,17.13
2,Yumen,CN,2020-11-02 03:26:37,40.28,97.2,46.27,47,0,4.63
3,Itarema,BR,2020-11-02 03:22:49,-2.92,-39.92,79.52,81,44,11.32
4,Mataura,NZ,2020-11-02 03:24:29,-46.19,168.86,57.0,64,40,8.99
5,Am Timan,TD,2020-11-02 03:26:37,11.03,20.28,76.35,64,41,4.12
6,Rikitea,PF,2020-11-02 03:24:25,-23.12,-134.97,74.17,86,72,24.36
7,Tongren,CN,2020-11-02 03:26:38,27.72,109.19,57.15,74,100,2.75
8,Bredasdorp,ZA,2020-11-02 03:26:38,-34.53,20.04,64.4,82,98,12.75
9,Dikson,RU,2020-11-02 03:22:41,73.51,80.55,18.46,98,89,8.95
10,Salinopolis,BR,2020-11-02 03:26:38,-0.61,-47.36,79.2,83,74,9.73
11,Nikolskoye,RU,2020-11-02 03:22:06,59.7,30.79,35.6,93,90,6.71
12,Nome,US,2020-11-02 03:26:28,64.5,-165.41,14.0,85,1,5.82
13,Arraial Do Cabo,BR,2020-11-02 03:26:39,-22.97,-42.03,68.22,72,2,16.69
14,Cuamba,MZ,2020-11-02 03:26:39,-14.8,36.54,68.97,81,50,2.71
15,Los Llanos De Aridane,ES,2020-11-02 03:26:39,28.66,-17.92,71.6,40,0,10.29
16,Severo-Kurilsk,RU,2020-11-02 03:26:39,50.68,156.12,43.66,75,18,12.84
17,Victoria,HK,2020-11-02 03:26:39,22.29,114.16,82.0,60,100,1.01
18,Cabedelo,BR,2020-11-02 03:23:41,-6.98,-34.83,78.8,83,75,3.36
19,Yanam,IN,2020-11-02 03:22:27,16.73,82.22,80.6,83,20,8.05
20,Vila Franca Do Campo,PT,2020-11-02 03:26:40,37.72,-25.43,62.6,82,20,6.93
21,Georgetown,MY,2020-11-02 03:22:41,5.41,100.34,84.2,83,20,6.93
22,Ancud,CL,2020-11-02 03:24:44,-41.87,-73.82,48.99,93,43,1.12
23,Kautokeino,NO,2020-11-02 03:24:00,69.01,23.04,37.99,92,100,26.44
24,Khatanga,RU,2020-11-02 03:26:40,71.97,102.5,8.76,95,99,8.39
25,Igarka,RU,2020-11-02 03:26:40,67.47,86.58,18.23,97,100,4.07
26,Marsabit,KE,2020-11-02 03:26:40,2.33,37.99,63.61,99,98,15.26
27,Bethel,US,2020-11-02 03:26:40,41.37,-73.41,44.6,65,75,9.17
28,Avarua,CK,2020-11-02 03:26:40,-21.21,-159.78,78.8,83,88,14.99
29,Faanui,PF,2020-11-02 03:26:41,-16.48,-151.75,80.15,79,1,16.98
30,Buin,CL,2020-11-02 03:26:41,-33.73,-70.75,62.01,71,0,9.17
31,Tuktoyaktuk,CA,2020-11-02 03:22:54,69.45,-133.04,12.2,85,90,16.11
32,Mar Del Plata,AR,2020-11-02 03:22:35,-38.0,-57.56,60.01,93,0,3.36
33,Manikling,PH,2020-11-02 03:26:41,6.88,126.06,89.6,52,40,8.05
34,Ketchikan,US,2020-11-02 03:26:41,55.34,-131.65,51.8,100,90,25.28
35,Merauke,ID,2020-11-02 03:23:13,-8.47,140.33,89.08,61,43,11.16
36,Dunedin,NZ,2020-11-02 03:26:41,-45.87,170.5,53.01,68,36,15.99
37,Sulangan,PH,2020-11-02 03:23:50,11.14,123.72,83.68,74,88,10.69
38,Nouadhibou,MR,2020-11-02 03:26:42,20.93,-17.03,73.4,49,0,13.87
39,Saint-Philippe,RE,2020-11-02 03:26:42,-21.36,55.77,71.6,60,90,6.93
40,Cape Town,ZA,2020-11-02 03:25:29,-33.93,18.42,62.01,82,0,6.93
41,Hermanus,ZA,2020-11-02 03:26:42,-34.42,19.23,62.01,86,97,3.0
42,Hithadhoo,MV,2020-11-02 03:26:42,-0.6,73.08,82.17,74,100,7.96
43,Atuona,PF,2020-11-02 03:26:42,-9.8,-139.03,77.86,77,92,14.76
44,Longyearbyen,SJ,2020-11-02 03:26:09,78.22,15.64,35.6,69,0,26.4
45,Yellowknife,CA,2020-11-02 03:25:54,62.46,-114.35,10.99,84,75,11.41
46,Upernavik,GL,2020-11-02 03:23:36,72.79,-56.15,16.39,93,98,3.98
47,Port Hedland,AU,2020-11-02 03:26:43,-20.32,118.57,89.6,49,18,16.11
48,Busselton,AU,2020-11-02 03:26:43,-33.65,115.33,59.0,86,95,4.83
49,Kaeo,NZ,2020-11-02 03:26:43,-35.1,173.78,72.0,75,100,11.01
50,Aripuana,BR,2020-11-02 03:24:03,-9.17,-60.63,70.77,98,96,1.54
51,Narsaq,GL,2020-11-02 03:22:57,60.92,-46.05,19.4,57,0,2.24
52,Along,IN,2020-11-02 03:26:43,28.17,94.77,77.49,62,92,1.07
53,Masallatah,LY,2020-11-02 03:26:44,32.62,14.0,62.28,67,0,3.29
54,Luderitz,NA,2020-11-02 03:26:44,-26.65,15.16,59.56,76,100,3.87
55,Ushuaia,AR,2020-11-02 03:26:44,-54.8,-68.3,57.2,54,40,6.93
56,Lazo,RU,2020-11-02 03:26:44,43.38,133.9,43.34,57,34,8.21
57,Carutapera,BR,2020-11-02 03:26:44,-1.2,-46.02,76.8,86,48,4.56
58,Coquimbo,CL,2020-11-02 03:26:44,-29.95,-71.34,55.4,87,75,5.82
59,Ambilobe,MG,2020-11-02 03:26:44,-13.2,49.05,71.08,68,69,6.67
60,Krasnovishersk,RU,2020-11-02 03:26:45,60.41,57.08,25.21,98,63,2.39
61,Namatanai,PG,2020-11-02 03:26:45,-3.67,152.43,83.75,73,67,3.85
62,Praia,CV,2020-11-02 03:24:40,14.92,-23.51,75.2,88,20,5.82
63,Kitimat,CA,2020-11-02 03:26:45,54.05,-128.65,48.99,90,95,6.24
64,Pak Phanang,TH,2020-11-02 03:26:45,8.35,100.2,87.8,74,40,2.24
65,Vestmannaeyjar,IS,2020-11-02 03:26:45,63.44,-20.27,38.84,73,79,12.62
66,Hualmay,PE,2020-11-02 03:26:46,-11.1,-77.61,60.87,87,20,8.3
67,Port Alfred,ZA,2020-11-02 03:26:46,-33.59,26.89,63.9,83,9,17.65
68,Biak,ID,2020-11-02 03:26:46,-0.91,122.88,84.15,67,100,5.82
69,Lasa,IT,2020-11-02 03:26:46,46.62,10.7,48.2,81,75,5.82
70,Jamestown,US,2020-11-02 03:26:46,42.1,-79.24,35.01,96,90,24.16
71,Balikpapan,ID,2020-11-02 03:22:32,-1.27,116.83,84.2,74,20,4.7
72,Pevek,RU,2020-11-02 03:26:47,69.7,170.31,13.98,97,100,9.62
73,La Ronge,CA,2020-11-02 03:26:47,55.1,-105.28,33.8,86,77,2.24
74,Butaritari,KI,2020-11-02 03:26:47,3.07,172.79,82.11,79,59,10.29
75,Gat,IL,2020-11-02 03:26:47,31.61,34.76,69.01,79,86,3.69
76,Port Elizabeth,ZA,2020-11-02 03:26:47,-33.92,25.57,62.6,93,20,9.17
77,Sibolga,ID,2020-11-02 03:26:48,1.74,98.78,76.46,88,97,5.14
78,Itaituba,BR,2020-11-02 03:26:48,-4.28,-55.98,79.09,69,99,1.61
79,Provideniya,RU,2020-11-02 03:26:48,64.38,-173.3,26.6,63,20,5.12
80,Pirgos,GR,2020-11-02 03:26:48,35.12,25.72,66.0,51,4,13.0
81,Prince George,CA,2020-11-02 03:23:09,53.92,-122.75,46.99,65,90,16.11
82,East London,ZA,2020-11-02 03:22:43,-33.02,27.91,62.6,93,20,8.05
83,Omsukchan,RU,2020-11-02 03:23:38,62.53,155.8,17.6,95,100,6.13
